r_cg,z_cg,ur_les,uz_les,yw,nut
1.563057840600e-02,-1.032080613184e+01,1.166000000000e-02,-1.090000000000e-02,1.249904462300e-02,8.237037054377e-05
4.689160350497e-02,-1.032070605820e+01,3.305000000000e-02,-1.049000000000e-02,1.250795837825e-02,1.385202778011e-04
7.815223419314e-02,-1.032051596488e+01,5.405000000000e-02,-1.014000000000e-02,1.251573270613e-02,1.824455621373e-04
1.094122093579e-01,-1.032023585343e+01,7.413000000000e-02,-9.280000000000e-03,1.252236759253e-02,2.208907425477e-04
1.406712659503e-01,-1.031986572612e+01,9.313000000000e-02,-8.520000000000e-03,1.252786309715e-02,2.593690176967e-04
1.719291403454e-01,-1.031940558605e+01,1.115900000000e-01,-7.730000000000e-03,1.253221924751e-02,2.976324506730e-04
2.031855710442e-01,-1.031885543702e+01,1.297000000000e-01,-7.290000000000e-03,1.253543609230e-02,3.347583894450e-04
2.344402963083e-01,-1.031821528362e+01,1.494000000000e-01,-6.660000000000e-03,1.253751368206e-02,3.702206576638e-04
2.656930533366e-01,-1.031748513121e+01,1.684000000000e-01,-5.230000000000e-03,1.253845209256e-02,4.037917144993e-04
2.969435787799e-01,-1.031666498592e+01,1.854000000000e-01,-3.330000000000e-03,1.253825141082e-02,4.353843812001e-04
3.281916101026e-01,-1.031575485466e+01,1.998100000000e-01,-1.740000000000e-03,1.253691174354e-02,4.649803767101e-04
3.594368862666e-01,-1.031475474504e+01,2.136800000000e-01,-6.800000000000e-04,1.253443310902e-02,4.925992582792e-04
3.906791450959e-01,-1.031366466546e+01,2.274800000000e-01,7.300000000000e-04,1.253081564957e-02,5.182813523792e-04
4.219181224074e-01,-1.031248462519e+01,2.403600000000e-01,2.150000000000e-03,1.252605953640e-02,5.420768682540e-04
4.531535561027e-01,-1.031121463415e+01,2.540000000000e-01,3.080000000000e-03,1.252016486983e-02,5.640411664409e-04
4.843851852608e-01,-1.030985470301e+01,2.668600000000e-01,4.630000000000e-03,1.251313171474e-02,5.842551693357e-04
5.156464351128e-01,-1.030839307843e+01,2.798800000000e-01,6.360000000000e-03,1.251500756135e-02,6.032927750170e-04
5.469370329689e-01,-1.030682957599e+01,2.922400000000e-01,8.030000000000e-03,1.252583990796e-02,6.211947017495e-04
5.782230179604e-01,-1.030517577691e+01,3.024400000000e-01,1.006000000000e-02,1.253552932949e-02,6.375631172311e-04
6.095041262047e-01,-1.030343169506e+01,3.125100000000e-01,1.201000000000e-02,1.254407598107e-02,6.524539796392e-04
6.407800939137e-01,-1.030159734507e+01,3.205800000000e-01,1.364000000000e-02,1.255148005364e-02,6.659275034528e-04
6.720506573744e-01,-1.029967274234e+01,3.284100000000e-01,1.523000000000e-02,1.255774173515e-02,6.780436213612e-04
7.033155528666e-01,-1.029765790306e+01,3.358000000000e-01,1.694000000000e-02,1.256286121946e-02,6.888618004514e-04
1.563043719319e-02,-1.029579664758e+01,1.233000000000e-02,-4.897000000000e-02,3.751422638367e-02,1.480835142122e-03
4.689118320105e-02,-1.029567874653e+01,3.548000000000e-02,-4.816000000000e-02,3.754096751041e-02,1.283891327152e-03
7.345745167250e-01,-1.029555284417e+01,3.425900000000e-01,1.874000000000e-02,1.256683872386e-02,6.984414954994e-04
7.815154478319e-02,-1.029547310478e+01,5.823000000000e-02,-4.707000000000e-02,3.756429017298e-02,1.253589419878e-03
1.094112674375e-01,-1.029517972382e+01,8.110000000000e-02,-4.613000000000e-02,3.758419442831e-02,1.212742179816e-03
1.406700947743e-01,-1.029479860591e+01,1.041400000000e-01,-4.476000000000e-02,3.760068036257e-02,1.167235121154e-03
1.719277698430e-01,-1.029432975403e+01,1.265600000000e-01,-4.385000000000e-02,3.761374809103e-02,1.121244241720e-03
2.031840377646e-01,-1.029377317190e+01,1.489100000000e-01,-4.390000000000e-02,3.762339775698e-02,1.076417993075e-03
7.658272853794e-01,-1.029335758339e+01,3.492800000000e-01,2.035000000000e-02,1.256967446900e-02,7.068425020818e-04
2.344386434271e-01,-1.029312886399e+01,1.713000000000e-01,-4.326000000000e-02,3.762962953250e-02,1.033486281311e-03
2.656913306825e-01,-1.029239683552e+01,1.927300000000e-01,-4.004000000000e-02,3.763244361958e-02,9.926174249592e-04
2.969418428488e-01,-1.029157709248e+01,2.128800000000e-01,-3.604000000000e-02,3.763184025027e-02,9.537491708446e-04
7.970735950515e-01,-1.029107213922e+01,3.555400000000e-01,2.217000000000e-02,1.257136868244e-02,7.141252504143e-04
3.281899240367e-01,-1.029066964159e+01,2.324100000000e-01,-3.278000000000e-02,3.762781968560e-02,9.167524455362e-04
3.594353198168e-01,-1.028967449028e+01,2.505400000000e-01,-3.060000000000e-02,3.762038221461e-02,8.814826677577e-04
8.283131823062e-01,-1.028869653091e+01,3.611600000000e-01,2.394000000000e-02,1.257192161692e-02,7.203512846213e-04
3.906777746504e-01,-1.028859164673e+01,2.684100000000e-01,-2.800000000000e-02,3.760952815756e-02,8.477979791693e-04
4.219170310427e-01,-1.028742111997e+01,2.864100000000e-01,-2.616000000000e-02,3.759525786788e-02,8.155911475456e-04
8.595457838411e-01,-1.028623077848e+01,3.664600000000e-01,2.558000000000e-02,1.257133352430e-02,7.255842443794e-04
4.531528335305e-01,-1.028616291968e+01,3.037600000000e-01,-2.439000000000e-02,3.757757172710e-02,7.848673822834e-04
4.843849277985e-01,-1.028481705625e+01,3.199100000000e-01,-2.205000000000e-02,3.755647014585e-02,7.553162106259e-04
8.907711361664e-01,-1.028367490275e+01,3.695800000000e-01,2.716000000000e-02,1.256960466962e-02,7.298922289962e-04
5.156458928694e-01,-1.028335163168e+01,3.360100000000e-01,-1.934000000000e-02,3.756217013656e-02,7.282948623734e-04
5.469354629570e-01,-1.028176646622e+01,3.512100000000e-01,-1.622000000000e-02,3.759466473395e-02,7.031634362057e-04
9.219889754899e-01,-1.028102892530e+01,3.738100000000e-01,2.881000000000e-02,1.256673534166e-02,7.333508516941e-04
5.782205369614e-01,-1.028009329011e+01,3.655800000000e-01,-1.274000000000e-02,3.762373039032e-02,6.790212251174e-04
6.095008576805e-01,-1.027833211686e+01,3.797400000000e-01,-9.210000000000e-03,3.764936761178e-02,6.558037573933e-04
9.531990386460e-01,-1.027829286849e+01,3.763100000000e-01,3.038000000000e-02,1.256272582564e-02,7.360419136923e-04
6.407761680045e-01,-1.027648296075e+01,3.932500000000e-01,-6.100000000000e-03,3.767157693515e-02,6.334811805552e-04
9.844010626959e-01,-1.027546675539e+01,3.780500000000e-01,3.190000000000e-02,1.255757643140e-02,7.383524787065e-04
