r_cg,z_cg,ur_les,uz_les,yw,nut
6.252020286136e-02,-1.028290683193e+01,4.625000000000e-02,-5.281000000000e-02,4.997103704415e-02,0.000000000000e+00
1.875525269899e-01,-1.028136040851e+01,1.235200000000e-01,-4.965000000000e-02,5.005897591685e-02,1.000000000000e+00
3.125606093729e-01,-1.027842860149e+01,1.986600000000e-01,-4.331000000000e-02,5.007401229245e-02,2.000000000000e+00
4.375282932444e-01,-1.027411178783e+01,2.669900000000e-01,-3.356000000000e-02,5.001616580770e-02,3.000000000000e+00
5.625689991599e-01,-1.026824147234e+01,3.223400000000e-01,-2.154000000000e-02,5.004616362720e-02,8.080000000000e+02
6.876663884244e-01,-1.026081538385e+01,3.703600000000e-01,-1.089000000000e-02,5.016468287910e-02,8.090000000000e+02
8.126745066520e-01,-1.025200050378e+01,4.088700000000e-01,1.950000000000e-03,5.021012020936e-02,8.100000000000e+02
9.375771253876e-01,-1.024179797056e+01,4.400000000000e-01,1.287000000000e-02,5.018253579608e-02,8.110000000000e+02
1.131022334664e+00,-1.022238301592e+01,4.747300000000e-01,3.107000000000e-02,4.982078150298e-02,1.168000000000e+03
1.392682075739e+00,-1.019121773367e+01,4.986800000000e-01,5.291000000000e-02,4.980404922441e-02,1.169000000000e+03
6.251807645492e-02,-1.018278244109e+01,4.006000000000e-02,-1.707000000000e-01,1.501865862930e-01,4.000000000000e+00
1.875469984647e-01,-1.018106016476e+01,1.041000000000e-01,-1.659000000000e-01,1.504503658567e-01,5.000000000000e+00
3.125542304916e-01,-1.017809833467e+01,1.654800000000e-01,-1.521000000000e-01,1.504954005212e-01,6.000000000000e+00
4.375253164819e-01,-1.017389728813e+01,2.184200000000e-01,-1.345900000000e-01,1.503217496153e-01,7.000000000000e+00
5.625617379852e-01,-1.016796627989e+01,2.662700000000e-01,-1.167800000000e-01,1.504127890711e-01,8.120000000000e+02
6.876488761692e-01,-1.016030327786e+01,3.062200000000e-01,-9.744000000000e-02,1.507681612840e-01,8.130000000000e+02
1.653492402997e+00,-1.015360009227e+01,5.017100000000e-01,7.060000000000e-02,4.978793132587e-02,1.170000000000e+03
8.126561402676e-01,-1.015139767283e+01,3.374300000000e-01,-7.658000000000e-02,1.509042489472e-01,8.140000000000e+02
9.375690100836e-01,-1.014125048340e+01,3.639000000000e-01,-5.776000000000e-02,1.508212312324e-01,8.150000000000e+02
1.129614787787e+00,-1.012193634354e+01,3.927300000000e-01,-3.028000000000e-02,1.506848006704e-01,1.196000000000e+03
1.913294229094e+00,-1.010955303574e+01,4.896900000000e-01,8.478000000000e-02,4.977242840465e-02,1.171000000000e+03
1.388461338640e+00,-1.009088315508e+01,4.130100000000e-01,2.950000000000e-03,1.506349731505e-01,1.197000000000e+03
6.251595004847e-02,-1.008265805025e+01,3.305000000000e-02,-2.696000000000e-01,2.503109771553e-01,8.000000000000e+00
1.875414699395e-01,-1.008075992101e+01,8.676000000000e-02,-2.626000000000e-01,2.507506097616e-01,9.000000000000e+00
3.125478516103e-01,-1.007776806786e+01,1.352700000000e-01,-2.425200000000e-01,2.508256675354e-01,1.000000000000e+01
4.375223397193e-01,-1.007368278843e+01,1.791500000000e-01,-2.188500000000e-01,2.505362493585e-01,1.100000000000e+01
5.625544768105e-01,-1.006769108744e+01,2.161000000000e-01,-1.923600000000e-01,2.506879817847e-01,8.160000000000e+02
6.876313639140e-01,-1.005979117186e+01,2.443600000000e-01,-1.639100000000e-01,2.512802688062e-01,8.170000000000e+02
2.171929080762e+00,-1.005910343012e+01,4.675300000000e-01,9.562000000000e-02,4.975754104755e-02,1.172000000000e+03
1.646463339496e+00,-1.005345515336e+01,4.178200000000e-01,2.942000000000e-02,1.505869754550e-01,1.198000000000e+03
8.126377738832e-01,-1.005079484187e+01,2.703800000000e-01,-1.379400000000e-01,2.515070815783e-01,8.180000000000e+02
9.375608947797e-01,-1.004070299624e+01,2.880800000000e-01,-1.132500000000e-01,2.513687187202e-01,8.190000000000e+02
1.128207240910e+00,-1.002148967117e+01,3.048600000000e-01,-7.813000000000e-02,2.511413344502e-01,1.224000000000e+03
1.903463813978e+00,-1.000967510604e+01,4.154700000000e-01,4.969000000000e-02,1.505408093545e-01,1.199000000000e+03
2.429239196880e+00,-1.000228204687e+01,4.424000000000e-01,1.015700000000e-01,4.974326981575e-02,1.173000000000e+03
1.384240601540e+00,-9.990548576485e+00,3.131000000000e-01,-3.939000000000e-02,2.510582885838e-01,1.225000000000e+03
6.251382364202e-02,-9.982533659414e+00,2.710000000000e-02,-3.517500000000e-01,3.504353680180e-01,1.200000000000e+01
1.875359414143e-01,-9.980459677256e+00,7.124000000000e-02,-3.417000000000e-01,3.510508536664e-01,1.300000000000e+01
3.125414727290e-01,-9.977437801051e+00,1.101800000000e-01,-3.170000000000e-01,3.511559345496e-01,1.400000000000e+01
4.375193629567e-01,-9.973468288732e+00,1.451500000000e-01,-2.852400000000e-01,3.507507491019e-01,1.500000000000e+01
5.625472156358e-01,-9.967415894987e+00,1.725000000000e-01,-2.524600000000e-01,3.509631744984e-01,8.200000000000e+02
2.159306393826e+00,-9.959569645920e+00,4.070300000000e-01,6.643000000000e-02,1.504964765358e-01,1.200000000000e+03
6.876138516589e-01,-9.959279065863e+00,1.973800000000e-01,-2.188400000000e-01,3.517923763285e-01,8.210000000000e+02
1.639434275995e+00,-9.953310214455e+00,3.138100000000e-01,-9.690000000000e-03,2.509782924246e-01,1.226000000000e+03
8.126194074988e-01,-9.950192010917e+00,2.154000000000e-01,-1.862000000000e-01,3.521099142094e-01,8.220000000000e+02
9.375527794757e-01,-9.940155509083e+00,2.297900000000e-01,-1.575500000000e-01,3.519162062081e-01,8.230000000000e+02
2.685067625564e+00,-9.939123543919e+00,4.140300000000e-01,1.055200000000e-01,4.972961521168e-02,1.174000000000e+03
1.126799694033e+00,-9.921042998796e+00,2.364800000000e-01,-1.143000000000e-01,3.515978682301e-01,1.252000000000e+03
1.893633398863e+00,-9.909797176339e+00,3.061500000000e-01,1.305000000000e-02,2.509013489238e-01,1.227000000000e+03
